Mnemonic,Opcode,Immediates,Signature,Families
i64.load16_s,0x32,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i64),"M, S"
i64.load32_s,0x34,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i64),"M, S"
i32.load8_u,0x2d,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i32),"M, U"
i32.load16_u,0x2f,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i32),"M, U"
i64.load8_u,0x31,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i64),"M, U"
i64.load16_u,0x33,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i64),"M, U"
i64.load32_u,0x35,"$flags: memflags, $offset: varuPTR",($base: iPTR) : (i64),"M, U"
i32.store8,0x3a,"$flags: memflags, $offset: varuPTR","($base: iPTR, $value: i32) : ()","M, G"
i32.store16,0x3b,"$flags: memflags, $offset: varuPTR","($base: iPTR, $value: i32) : ()","M, G"
i64.store8,0x3c,"$flags: memflags, $offset: varuPTR","($base: iPTR, $value: i64) : ()","M, G"
i64.store16,0x3d,"$flags: memflags, $offset: varuPTR","($base: iPTR, $value: i64) : ()","M, G"
i64.store32,0x3e,"$flags: memflags, $offset: varuPTR","($base: iPTR, $value: i64) : ()","M, G"
mem.grow,0x40,$reserved: varuint1,($delta: iPTR) : (iPTR),Z
mem.size,0x3f,$reserved: varuint1,() : (iPTR),Z
